,sentene,label,comprehensive,predicted,fat_skinny,response_Q1,response_Q2
76,紙片人路跑 紙片人烤肉大會 紙片人大胃王比賽 紙片人....,2,1,0,0,這篇文章並沒有涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中加害者不請自來的對目標身體，表達負面意見或評論。這些行為可能會使被害者產生身體羞恥感，但並不一定有意傷害被害者。因此，這些行為不會涉及有關於身體羞辱的歧視。,Q1 判斷無歧視
77,這種比較胖 矮 個性溫馴,1,1,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。該文章描述了一個比較胖、矮和個性溫馴的人，並且用負面的方式對他們表達了評論。這種行為可能會使被評論的人感到身體羞恥或受到冒犯。因此，這種行為涉及到有關於身體羞辱的歧視。,這篇文章是歧視胖子類型。
78,車主應該是8+9瘦皮猴？,2,1,0,0,這篇文章並沒有涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。因此，這篇文章並沒有涉及有關於身體羞辱的歧視。,Q1 判斷無歧視
79,原代理沒去招標？,0,0,1,1,身體羞辱定義與原代理沒去招標的定義不同，身體羞辱是一種負面行為，而原代理沒去招標則是指一個人或組織在未發明意見或沒有誤解原則的情況下，對另一個人或組織做出有關於其身體或個人的負面評論或行為。因此，該文章涉及有關於身體羞辱的歧視，因為它描述了一個人對另一個人的負面評論。,歧視胖子。
80,死肥豬,1,1,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中加害者不請自來的對目標身體，表達負面意見或評論。然而，該文章提到了“死肥豬”這個詞語，並且用這個詞來形容一個人，這個詞的使用可能會被視為對這個人的負面評論，因此涉及有關於身體羞辱的歧視。,這篇文章有身體羞辱歧視的情況，可以判斷為歧視胖子類型。
81,沒奶 給推但沒興趣,2,1,0,0,這篇文章沒有涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。這種行為可能會使被害者產生身體羞恥感，但不一定有意傷害被害者。因此，身體羞辱的範圍從善意的建議到惡意的羞辱。,Q1 判斷無歧視
82,側翼真的是藉口 中央執政太爛黑道縱橫,0,0,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於中央執政的評論持負面意見，並說其爛黑，這樣的評論對於被評論者來說可能是具有冒犯性的，因此涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
83,你知道全能住宅後來多起官司糾紛嗎?,0,0,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。全能住宅是兩個人對一個住宅的定義，可能會因為不同的背景、文化和社會體驗而有所不同。因此，該文章可能會被視為對全能住宅的定義存在歧視，導致對於全能住宅的認知和觀點存在差異。,這篇文章是一篇有身體羞辱歧視的文章，判斷該文章是歧視胖子類型。
84,有瘦皮猴混在裡面了 恥辱啊,2,1,1,2,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於瘦皮猴這個圖像進行了恥辱的評論，這樣的行為不符合身體羞辱定義中的範圍，因為身體羞辱是一種非重複性行為，加害者不請自來的對目標身體，表達負面意見或評論。,這篇文章是歧視瘦子的類型。
85,最好是長相普通,0,0,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。然而，該文章提到“最好是長相普通”，這讓人們發現這可能是一種對外貌的評論，這樣的評論可能會被視為身體羞辱。因此，該文章可能會對外貌較為敏感，並且涉及有關於身體羞辱的歧視。,這篇文章可能是歧視胖子的類型。
86,國人跟都矮矮瘦瘦扁扁的,2,1,1,1,這篇文章涉及身體羞辱的歧視。在這篇文章中，作者對國人進行了評論，並且說國人跟都矮矮瘦瘦扁扁的。這種評論是負面的，且對被評論的國人產生了身體羞恥感。因此，這種行為涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
87,上的問題,0,0,0,0,這篇文章沒有涉及有關於身體羞辱的歧視上的問題。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。當加害者表達的評論是善意或惡意的時，它們不會對被害者造成歧視。因此，這篇文章沒有涉及有關於身體羞辱的歧視上的問題。,Q1 判斷無歧視
88,還互動六個月 笑死 龍妹智商,1,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。該文章描述了一個人對另一個人的評論，其中包含了負面意見和羞辱。這種行為不符合身體羞辱的定義，因為身體羞辱是一種非重複性行為，加害者不請自來的對目標身體表達負面意見或評論。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章可能是歧視胖子的類型。
89,到底誰會選隻瘦皮猴,2,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於選擇隻瘦皮猴的人進行了負面評論，並且使用了身體羞辱的定義來描述這種行為。這種行為可能會使被該評論標籤的人感到冒犯或羞恥，因此這種行為可能涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子。
90,腿粗也是有一定行情好嗎 又不是每個都,0,0,1,1,這篇文章涉及身體羞辱的歧視。腿粗是一種身體狀況，並不是所有腿粗的人都會受到歧視。然而，在這篇文章中，作者對於腿粗的評論是負面的，並且使用了惡意的語言來表達，這使得該評論具有歧視性。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的文章。
91,那江大胖屬實的話也太噁了吧,0,0,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，江大胖對一個人表達了負面意見，並且使用了身體羞辱的行為，例如說“噁”和該人的名字。這種行為可能會使被該人認為冒犯或侮辱，因此這種行為涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
92,你可以伸進肥宅的屁股感受一下,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對肥宅進行了身體羞辱，並且該行為是從善意到惡意的。然而，這種行為卻被譽為有關於身體羞辱的歧視，因為它們對肥宅的身體形象造成了負面影響，並且讓肥宅感到產生身體羞恥感。因此，這種行為是涉及有關於身體羞辱的歧視的。,這篇文章是歧視胖子的類型。
93,狗娘肛門生的國民黨髒蛆跟死肥豬支持者快找理由啊哈哈,1,1,1,2,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，狗娘肛門生的國民黨被描述為對狗娘的身體表達負面意見或評論，並且被該描述為髒蛆和死肥豬支持者。這種描述可能會被讀者認為有關於狗娘的身體的惡意評論，並且可能會讀者對這些支持者的評論感到冒犯或擔心。因此，這篇文章可能會被認為涉及有關於身體羞辱的歧視。,這篇文章是歧視瘦子的。
94,有些人完全狀況外還可以大言不慚罵蠢蛋,0,0,1,1,有些人完全狀況外還可以大言不慚罵蠢蛋，這篇文章涉及到有關於身體羞辱的歧視。在身體羞辱定義中，身體是目標，而這篇文章中，有些人對目標身體表達負面意見，並且以侮辱性的言語來表達。這種行為不符合身體羞辱的定義，因此這篇文章涉及到有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
95,ee.肥婆....表示,1,1,1,1,這篇文章涉及身體羞辱的歧視。ee.肥婆....表示是一種對目標身體的負面意見或評論，這種行為可能會使被評論者產生身體羞恥感，因此從一個友善的建議開始，到惡意的羞辱，這種行為涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
96,長得又醜又肥就不會被強姦了,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於長得又醜又肥的人進行了負面評論，並且說這種情況下不會被強姦。然而，這種評論卻被譽為惡意的，因為它們對於被評論的人的身體產生了負面影響。因此，這篇文章涉及到身體羞辱的歧視，因為它們將身體產生負面影響視為一种可應對的行為，而忽略了這種行為可能對於被評論的人造成傷害。,這篇文章是歧視胖子的類型。
97,們這些共匪高官在搞事情，只出一張嘴,0,0,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。們這些共匪高官在搞事情，只出一張嘴，這種行為對目標身體表達負面意見或評論，使被害者產生身體羞恥感，因此涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
98,是合理啦 紙片人最好拉得住哈士奇,2,1,0,0,這篇文章並未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。然而，這篇文章並沒有明確表明紙片人或哈士奇是目標身體，因此並沒有涉及歧視。,Q1 判斷無歧視
99,低能兒死肥豬,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於一個人名稱為“低能兒死肥豬”的形容詞使用了負面、冒犯性和使這個人產生身體羞恥感的描述，這種行為符合身體羞辱定義中的所有要素。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子。
100,廢話 肥宅整天幻想結果自己跟醜肥甲一,1,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。廢話中的肥宅和醜肥甲都是對於特定身體的評論，這使得該身體被視為可以被羞辱的對象。這種行為可能會對被評論的身體造成負面影響，並且可能會引起對被評論者的冒犯和侮辱。因此，這種行為是涉及有關於身體羞辱的歧視的。,這篇文章是歧視胖子的類型。
101,又是這肥婆,1,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於一個肥婆的評論是負面的，並且使用了侮辱性的語言來表達。這種行為可能會使被評論者感到冒犯或羞恥，因此這種行為涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
102,看到基進基本上就知道是認知作戰了,0,0,0,0,基進和認知作戰都是與人類作對的，但是區別在於基進是從一個物體開始，而認知作戰則是從人類開始。因此，根據身體羞辱定義，該文章並未涉及有關於身體羞辱的歧視。,Q1 判斷無歧視
103,去鄉下一堆未成年黑衣瘦皮猴+9成群結隊,2,1,1,2,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。因為該文章描述了一個群體，其中包含了未成年黑衣瘦皮猴，這種群體被描述為負面、具有冒犯性的，因此這篇文章對於這些群體的評論可能是具有負面的，這樣的評論可能會被認為是身體羞辱。,這篇文章是歧視瘦子類型。
